N;R;Z;Calculated X;Measured X;Diff;Diff %
15;10,72354636;10;723,8143387;817,0266667;-93,21232799;-15,54645589
30;20,17940617;10;994,0553447;926,2966667;67,75867807;5,69267358
45;21,73179618;10;1418,135921;1507,696667;-89,56074585;-5,407459625
60;32,09592622;10;1425,316067;1446,076667;-20,76059954;-1,170458204
90;48,01528949;10;1551,315193;1580,17;-28,85480732;-1,625241179
120;60,30987289;10;1706,730436;1660,81;45,92043574;2,586464843
150;72,46231589;10;1819,012702;1686,696667;132,3160349;7,452694954
180;91,65064509;10;1770,770858;1666,433333;104,3375244;5,87680826
210;109,2957861;10;1760,33041;1666,7;93,63040976;5,273731113
240;116,4233653;10;1898,383257;1801,643333;96,73992331;5,448874893
270;129,938422;10;1929,42007;1833,88;95,54007024;5,381293492
300;146,6251176;10;1915,401595;1849,806667;65,59492814;3,694633808
